timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-01 21:39:03,13.66,64.94,70.90,24.80,1219.91,220.95,454.79,0.00,0.00,0.00,0.00,1
2024-09-01 21:39:08,13.65,62.90,70.90,24.80,1200.15,217.90,456.74,0.00,0.00,0.00,0.00,1
2024-09-01 21:39:13,13.64,68.84,70.96,24.80,1198.99,208.13,439.16,0.00,0.00,0.00,0.00,1
2024-09-01 21:39:18,13.64,64.24,71.00,24.80,1205.38,206.60,446.48,0.00,0.00,0.00,0.00,1
2024-09-01 21:39:23,10.91,55.62,56.88,19.84,933.03,153.14,348.69,0.00,0.00,0.00,0.00,1
timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-01 21:53:28,13.58,-0.06,72.60,24.60,1318.15,226.14,528.52,0.00,0.00,0.00,0.00,1
2024-09-01 21:53:33,13.58,0.06,72.60,24.60,1307.11,218.20,522.17,0.00,0.00,0.00,0.00,1
2024-09-01 21:53:38,10.87,-0.12,58.08,19.68,1059.17,183.96,408.75,0.00,0.00,0.00,0.00,1
2024-09-01 21:53:43,13.58,-0.18,72.60,24.60,1332.68,235.60,518.26,0.00,0.00,0.00,0.00,1
2024-09-01 21:53:48,10.87,0.04,58.08,19.68,1055.10,179.99,411.68,0.00,0.00,0.00,0.00,1
2024-09-01 21:53:53,13.58,0.00,72.60,24.60,1323.38,231.02,517.77,0.00,0.00,0.00,0.00,1
2024-09-01 21:53:58,10.87,-0.02,58.08,19.68,1046.96,181.82,419.00,0.00,0.00,0.00,0.00,1
2024-09-01 21:54:03,13.58,0.02,72.60,24.60,1303.04,229.49,519.24,0.00,0.00,0.00,0.00,1
2024-09-01 21:54:08,10.87,-0.02,58.08,19.68,1046.38,183.35,430.23,0.00,0.00,0.00,0.00,1
2024-09-01 21:54:13,13.58,-0.10,72.60,24.60,1318.15,232.24,528.52,0.00,0.00,0.00,0.00,1
2024-09-01 21:54:18,10.87,0.02,58.08,19.68,1049.87,181.52,412.17,0.00,0.00,0.00,0.00,1
2024-09-01 21:54:23,13.58,-0.14,72.60,24.60,1308.27,224.91,511.43,0.00,0.00,0.00,0.00,1
timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
