timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-05 10:52:34,4.28,-14.84,88.00,24.50,11223.28,-35.10,2059.28,0.00,0.00,0.00,1
2024-09-05 10:52:39,4.29,-15.22,88.00,24.50,11045.99,-44.86,1454.30,0.00,0.00,0.00,1
2024-09-05 10:52:44,4.29,-15.12,88.00,24.50,8917.32,55.85,1163.28,0.00,0.00,0.00,1
2024-09-05 10:52:49,4.28,-14.42,88.00,24.50,7281.58,106.51,979.69,0.00,0.00,0.00,1
2024-09-05 10:52:54,4.25,-16.16,88.00,24.50,6187.59,130.62,845.41,0.00,0.00,0.00,1
timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-05 10:53:10,4.29,-14.50,87.80,24.40,4438.50,166.32,721.39,0.00,0.00,0.00,1
2024-09-05 10:53:15,4.29,-14.48,87.80,24.40,4083.91,166.32,676.95,0.00,0.00,0.00,1
2024-09-05 10:53:20,4.28,-13.12,87.80,24.40,3833.96,168.15,668.65,0.00,0.00,0.00,1
2024-09-05 10:53:25,4.28,-16.62,87.80,24.40,3626.44,170.59,656.93,0.00,0.00,0.00,1
2024-09-05 10:53:30,4.28,-14.02,87.80,24.40,3466.59,172.42,644.24,0.00,0.00,0.00,1
2024-09-05 10:53:35,4.29,-13.58,87.80,24.40,3326.50,173.03,638.38,0.00,0.00,0.00,1
2024-09-05 10:53:40,4.29,-15.14,87.80,24.40,3224.77,181.27,638.38,0.00,0.00,0.00,1
2024-09-05 10:53:45,4.29,-14.40,87.80,24.40,3139.32,179.75,636.43,0.00,0.00,0.00,1
2024-09-05 10:53:50,4.29,-12.92,87.80,24.40,3049.22,180.36,627.64,0.00,0.00,0.00,1
2024-09-05 10:53:55,4.28,-14.24,87.80,24.40,2978.89,178.53,624.71,0.00,0.00,0.00,1
2024-09-05 10:54:00,4.28,-14.06,87.80,24.40,2917.27,182.80,615.92,0.00,0.00,0.00,1
2024-09-05 10:54:05,4.29,-13.66,87.80,24.40,2869.61,184.02,612.99,0.00,0.00,0.00,1
2024-09-05 10:54:10,4.29,-14.78,87.80,24.40,2814.96,186.16,616.89,0.00,0.00,0.00,1
2024-09-05 10:54:15,4.29,-15.60,87.80,24.40,2771.37,188.90,606.64,0.00,0.00,0.00,1
