timestamp,CO (ppb),NO2 (ppb),SO2 (ppb),Voltage (V),Current (mA),Temperature (°C),Humidity (%),PM1 (ug/m^3),PM2.5 (ug/m^3),PM10 (ug/m^3)
2024-8-13 0:1:4,428.69,106.01,185.21,16.77,89.70,24.40,99.90,4.38,10.07,113.75
2024-8-13 0:2:40,429.17,108.94,177.27,16.76,90.10,24.50,99.90,8.75,42.28,1072.03
2024-8-13 0:4:17,433.05,102.45,178.49,16.77,88.20,24.50,99.90,9.65,30.46,409.82
2024-8-13 0:5:53,430.87,108.81,183.98,16.77,93.70,24.50,99.90,5.92,39.16,751.48
2024-8-13 0:7:29,432.56,103.47,178.90,16.77,93.40,24.50,99.90,7.99,52.97,2570.59
2024-8-13 0:9:6,417.06,110.59,185.41,16.77,93.90,24.50,99.90,8.96,60.09,3496.19
2024-8-13 0:10:42,412.45,99.65,165.06,16.76,89.60,24.50,99.90,5.13,44.12,3005.15
2024-8-13 0:12:19,411.48,107.28,166.89,16.76,89.40,24.50,99.90,5.98,19.34,434.61
2024-8-13 0:13:55,426.75,110.72,175.84,16.77,89.10,24.50,99.90,8.28,98.47,3588.45
2024-8-13 0:15:32,417.30,105.50,183.58,16.77,92.30,24.50,99.90,7.04,160.24,7682.51
2024-8-13 0:17:8,414.63,109.19,190.09,16.77,89.70,24.40,99.90,6.24,29.58,563.33
2024-8-13 0:18:45,424.32,108.43,188.87,16.77,88.90,24.30,99.90,4.04,61.47,1596.47
2024-8-13 0:20:21,407.61,110.34,176.46,16.76,89.20,24.40,99.90,5.74,21.53,228.20
2024-8-13 0:21:57,424.81,112.62,177.68,16.77,89.20,24.40,99.90,8.74,166.80,8001.24
2024-8-13 0:23:34,421.66,107.54,184.80,16.77,93.40,24.40,99.90,8.96,111.93,2148.91
2024-8-13 0:25:10,423.36,109.44,180.73,16.77,89.60,24.40,99.90,7.78,266.88,13541.96
2024-8-13 0:26:47,418.99,111.99,176.46,16.77,93.00,24.40,99.90,7.22,81.95,2454.62
2024-8-13 0:28:23,421.90,105.25,178.49,16.77,92.90,24.40,99.90,13.07,16.84,51.15
2024-8-13 0:30:0,410.27,102.83,175.03,16.76,92.90,24.40,99.90,7.24,26.20,243.18
2024-8-13 0:31:36,423.11,108.30,177.27,16.76,93.60,24.40,99.90,8.08,24.51,249.63
2024-8-13 0:33:13,422.39,107.79,178.29,16.77,93.40,24.50,99.90,5.31,14.50,113.23
2024-8-13 0:34:49,422.39,112.12,182.97,16.76,93.40,24.40,99.90,8.77,11.57,20.24
2024-8-13 0:36:26,421.18,105.88,181.54,16.77,90.40,24.50,99.90,6.43,30.72,426.69
2024-8-13 0:38:2,423.60,104.36,177.27,16.77,88.60,24.50,99.90,5.46,33.15,517.39
2024-8-13 13:53:35,573.80,104.23,202.71,16.78,89.90,28.60,99.90,125.16,129.64,140.99
2024-8-13 13:55:12,513.96,102.58,196.19,16.78,90.20,28.30,99.90,35.87,39.35,43.50
2024-8-13 13:56:48,505.97,103.47,198.64,16.78,88.10,28.00,99.90,98.39,103.52,124.39
2024-8-13 13:58:24,508.87,109.19,192.74,16.78,93.60,27.90,99.90,32.34,35.93,45.98
2024-8-13 14:0:1,511.30,104.23,190.29,16.78,90.50,27.90,99.90,39.15,41.78,42.63
2024-8-13 14:1:37,504.51,102.58,202.30,16.78,88.70,27.90,99.90,29.13,31.54,33.30
2024-8-13 14:3:13,503.30,100.92,185.61,16.78,92.00,28.00,99.90,52.38,55.86,57.93
2024-8-13 14:4:50,629.76,112.24,197.82,16.78,90.50,28.10,99.90,78.67,82.83,91.27
2024-8-13 14:6:26,579.61,104.87,206.57,16.78,90.70,28.20,99.90,183.50,188.10,189.28
2024-8-13 14:8:2,634.12,109.57,197.01,16.78,91.80,27.90,99.90,47.38,51.24,191.61
2024-8-13 14:9:39,602.63,110.97,194.36,16.78,91.60,27.80,99.90,39.44,43.39,48.95
2024-8-13 14:11:15,536.01,105.63,189.68,16.78,92.20,27.40,99.90,30.87,34.27,127.06
2024-8-13 14:12:52,649.14,105.25,197.62,16.78,91.60,27.10,99.90,154.98,163.54,383.94
2024-8-13 14:14:28,536.98,108.55,193.96,16.78,90.80,26.90,99.90,45.96,48.31,148.65
2024-8-13 14:16:4,496.52,110.72,196.81,16.78,92.00,26.90,99.90,23.69,25.69,57.09
2024-8-13 14:17:41,478.11,109.57,174.42,16.78,93.20,26.80,99.90,37.62,39.97,55.71
2024-8-13 15:15:56,704.76,127.16,222.11,16.77,89.50,25.90,99.90,69.48,73.87,84.35
2024-8-13 15:17:33,579.61,105.88,201.08,16.77,90.50,25.80,99.90,101.08,105.12,107.74
2024-8-13 15:19:9,519.05,113.39,183.17,16.77,90.90,25.70,99.90,178.75,185.41,205.25
2024-8-13 15:20:45,508.15,115.55,191.51,16.77,90.40,25.70,99.90,65.11,68.99,72.51
2024-8-13 15:22:22,518.32,101.94,191.11,16.77,89.40,25.80,99.90,17.02,21.17,29.91
2024-8-13 15:23:58,498.94,113.77,191.92,16.77,91.40,25.80,99.90,13.83,18.94,36.61
2024-8-13 15:25:35,492.88,109.57,193.35,16.77,89.10,25.80,99.90,11.61,15.37,28.46
2024-8-13 15:27:11,525.35,113.90,194.57,16.77,91.50,25.80,99.90,50.14,53.98,59.86
2024-8-13 15:28:47,540.13,111.23,192.74,16.77,88.50,25.90,99.90,10.32,14.28,19.56
2024-8-13 15:30:24,529.22,112.62,196.40,16.77,92.00,25.90,99.90,16.78,18.82,20.22
2024-8-13 15:32:0,486.34,105.88,191.92,16.77,89.00,25.90,99.90,15.87,21.66,30.01
2024-8-13 15:33:36,474.47,109.95,187.44,16.77,90.60,25.90,99.90,10.36,14.42,23.81
2024-8-13 15:35:13,498.21,110.59,192.33,16.77,87.90,25.80,99.90,17.18,19.42,21.32
2024-8-13 15:36:49,543.03,100.41,192.94,16.77,92.10,25.80,99.90,29.55,33.18,46.89
2024-8-13 15:38:25,514.69,114.41,185.00,16.77,92.30,25.80,99.90,51.13,55.12,72.57
2024-8-13 15:40:2,562.41,101.56,192.53,16.77,91.50,25.80,99.90,24.91,29.40,34.12
2024-8-13 15:41:38,522.44,106.27,189.28,16.77,93.10,25.80,99.90,40.10,43.47,50.40
2024-8-13 15:43:15,538.43,112.62,185.21,16.77,91.80,25.80,99.90,18.69,21.89,23.85
2024-8-13 15:44:51,492.16,112.50,183.37,16.77,90.00,25.80,99.90,14.26,17.31,18.50
2024-8-13 15:46:27,533.58,99.40,197.42,16.77,90.80,25.80,99.90,50.55,54.07,63.31
2024-8-13 15:48:4,575.98,114.41,181.54,16.77,87.80,25.80,99.90,56.48,60.35,64.08
2024-8-13 15:49:40,537.46,109.70,183.58,16.77,89.90,25.70,99.90,13.44,17.55,21.69
2024-8-13 15:51:16,501.61,109.57,181.14,16.77,87.50,25.80,99.90,11.33,14.51,18.89
2024-8-13 15:52:53,485.13,100.03,180.12,16.77,89.90,25.70,99.90,14.70,19.04,24.22
2024-8-13 15:54:29,508.39,105.50,188.87,16.77,92.80,25.70,99.90,13.59,16.67,18.39
2024-8-13 15:56:5,523.41,109.06,190.09,16.78,92.30,25.70,99.90,12.17,15.94,25.74
2024-8-13 15:57:42,495.79,109.57,177.27,16.77,91.40,25.80,99.90,15.30,18.21,29.63
2024-8-13 15:59:18,501.85,108.30,188.05,16.77,91.00,25.80,99.90,12.91,16.57,20.48
2024-8-13 16:0:55,494.58,104.10,201.69,16.77,93.30,25.80,99.90,12.80,15.54,17.73
2024-8-13 16:2:31,510.09,101.69,189.28,16.77,93.10,25.80,99.90,14.50,18.09,21.14
2024-8-13 16:4:7,497.25,105.88,191.92,16.77,93.60,25.80,99.90,14.95,17.60,21.48
2024-8-13 16:5:44,622.01,108.30,192.94,16.77,91.30,25.70,99.90,21.33,24.84,31.84
2024-8-13 16:7:20,534.55,102.58,186.83,16.77,88.60,25.50,99.90,14.25,16.86,17.82
2024-8-13 16:15:44,893.67,189.57,317.36,16.77,91.90,25.90,99.90,35.67,38.57,39.30
2024-8-13 16:17:20,520.99,106.52,194.97,16.77,91.00,25.90,99.90,25.06,27.86,66.10
2024-8-13 16:18:56,673.37,108.30,201.49,16.77,91.60,26.00,99.90,25.03,27.74,29.20
2024-8-13 16:20:33,602.39,107.41,204.33,16.74,95.50,25.90,99.90,45.62,48.95,55.28
2024-8-13 16:22:9,563.87,110.34,185.61,16.77,90.50,25.90,99.90,11.12,15.83,20.75
2024-8-13 16:23:45,531.16,108.17,197.21,16.77,89.00,25.90,99.90,22.94,26.00,30.01
2024-8-13 16:25:22,1661.56,114.41,352.89,16.77,92.10,25.90,99.90,19.98,23.55,32.27
2024-8-13 16:26:58,692.99,112.62,223.87,16.75,130.10,25.90,99.90,26.95,31.52,37.71
2024-8-13 16:28:35,710.68,106.27,215.93,16.77,92.10,25.90,99.90,20.08,26.79,53.00
2024-8-13 16:30:11,643.09,113.01,222.45,16.77,91.50,26.00,99.90,20.97,25.82,40.72
2024-8-13 16:31:47,625.40,115.55,195.18,16.77,88.90,26.00,99.90,12.38,16.09,22.11
2024-8-13 16:33:24,581.07,109.57,205.76,16.78,93.00,26.00,99.90,13.91,17.79,22.95
2024-8-13 16:35:0,548.36,107.16,205.76,16.76,93.60,26.00,99.90,12.65,16.12,34.56
2024-8-13 16:36:36,575.25,108.43,199.86,16.77,89.50,26.00,99.90,23.26,26.24,33.50
